route_id,route_short_name,route_long_name,route_type
8__498___,498,MÓSTOLES - ARROYOMOLINOS - MORALEJA DE ENMEDIO,mode_3
8__498_A__,498A,MÓSTOLES (Móstoles - Central) - ARROYOMOLINOS (Parque de Nieve),mode_3
8__499___,499,MÓSTOLES-ARROYOMOLINOS,mode_3
9__1__074_,1,VEREDA DE LOS ESTUDIANTES-LA FORTUNA,mode_3
9__1_A_015_,1A,CIRCULAR ARROYOMOLINOS,mode_3
9__1_B_015_,1B,CIRCULAR ARROYOMOLINOS,mode_3
8__260___,260,ALCALÁ DE HENARES-AMBITE-ORUSCO,mode_3
8__261___,261,MADRID (Av. de América) - NUEVO BAZTÁN-VILLAR DEL OLMO,mode_3
8__312___,312,MADRID (Conde de Casal)-ARGANDA (El Mirador),mode_3
8__312_A__,312A,MADRID (Conde de Casal)-ARGANDA (El Mirador por La Poveda),mode_3
8__313___,313,MADRID (Conde de Casal)-VALDILECHA,mode_3
8__320___,320,ARGANDA DEL REY-ALCALÁ DE HENARES,mode_3
8__321___,321,ARGANDA (Hospital)-VILLAR DEL OLMO,mode_3
8__322___,322,ARGANDA DEL REY (Hospital)-AMBITE,mode_3
8__326___,326,MADRID (Conde de Casal)-MONDEJAR-DRIEBES,mode_3
9__1__014_,1,RESIDENCIA-LA POVEDA,mode_3
9__2__014_,2,LA POVEDA-SIETE VIENTOS-HOSPITAL,mode_3
9__4__014_,4,CIRCULAR ARGANDA,mode_3
8__330___,330,RIVAS-ARGANDA (Hospital)-MORATA,mode_3
8__331___,331,MADRID (Conde de Casal)-RIVAS (Sta. Mónica)-RIVAS FUTURA,mode_3
8__332___,332,MADRID (Conde de Casal)-RIVAS PUEBLO,mode_3
8__333___,333,Madrid (Conde de Casal) - Rivas (Bellavista),mode_3
8__334___,334,MADRID (Conde de Casal) - RIVAS FUTURA,mode_3
8__336___,336,MADRID (Conde de Casal)-MORATA DE TAJUÑA,mode_3
8__337___,337,MADRID (Conde de Casal)-CHINCHÓN-VALDELAGUNA,mode_3
8__339___,339,MADRID (Conde de Casal)-VALDEMINGÓMEZ,mode_3
8__410___,410,ARANJUEZ-CIEMPOZUELOS-SAN MARTÍN DE LA VEGA,mode_3
8__411___,411,MADRID (Legazpi) - PERALES DEL RÍO,mode_3
8__412___,412,MADRID (Villaverde Bajo-Cruce)-SAN MARTÍN DE LA VEGA,mode_3
8__413___,413,PINTO (FFCC)-SAN MARTÍN DE LA VEGA,mode_3
8__414___,414,MADRID (Villaverde Bajo-Cruce)-C.P. MADRID III,mode_3
8__415___,415,MADRID (Villaverde Bajo-Cruce)-VILLACONEJOS,mode_3
8__416___,416,VALDEMORO (Hosp.)-S. M. DE LA VEGA-TITULCIA-COLMENAR DE OREJA,mode_3
9__1__123_,1,BARRIO DE LA LUNA - RIVAS PUEBLO,mode_3
9__1__132_,1,CIRCULAR SAN MARTIN DE LA VEGA,mode_3
9__1__091_,1,MORATA DE TAJUÑA-ISLA TARAY,mode_3
9_i_1__132_,i1,RUTAS INSTITUTOS,mode_3
8__641___,641,MADRID (Moncloa)-VALDEMORILLO,mode_3
8__642___,642,MADRID (Moncloa)-COLMENAR DEL ARROYO,mode_3
8__643___,643,MADRID (Moncloa)-VILLANUEVA DEL PARDILLO,mode_3
8__FS1___,FS1,LAS ROZAS (Centros Comerciales) - VALDEMORILLO,mode_3
8__630___,630,VILLALBA (Estación)-GALAPAGAR-COLMENAREJO-VALDEMORILLO,mode_3
8__631___,631,MADRID (Moncloa)-TORRELODONES (Colonia)-GALAPAGAR-COLMENAREJO,mode_3
8__632___,632,MADRID (Moncloa)-LA NAVATA-GALAPAGAR-EL GUIJO,mode_3
8__633___,633,MAJADAHONDA (Hospital)-TORRELODONES (Colonia)-GALAPAGAR-COLMENAREJO,mode_3
